PSCID,PSC_Description
2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED"
2355,COMBAT ASSAULT AND TACTICAL VEHICLES WHEELED
2410,"TRACTOR, FULL TRACKED, LOW SPEED"
2420,"TRACTORS, WHEELED"
2430,"TRACTORS, FULL TRACKED, HIGH SPEED"
2510,"VEHICULAR CAB, BODY, AND FRAME STRUCTURAL COMPONENTS"
2520,VEHICULAR POWER TRANSMISSION COMPONENTS
2530,VEH BRAKE STEERING AXLE WHEEL COMP
2540,VEHICULAR FURNITURE AND ACCESSORIES
2541,WEAPONS SYSTEMS SPECIFIC VEHICULAR ACCESSORIES
2590,MISCELLANEOUS VEHICULAR COMPONENTS
2610,TIRES & TUBES PNEUMATIC EXCEPT AIR
2620,"TIRES AND TUBES, PNEUMATIC, AIRCRAFT"
2630,"TIRES, SOLID AND CUSHION"
2640,TIRE REBUILDING AND TIRE AND TUBE REPAIR MATERIALS
2805,"GASOLINE RECIPROCATING ENGINES, EXCEPT AIRCRAFT; AND COMPONENTS"
2810,"GASOLINE RECIPROCATING ENGINES, AIRCRAFT PRIME MOVER; AND COMPONENTS"
2815,DIESEL ENGINES AND COMPONENTS
2820,"STEAM ENGINES, RECIPROCATING; AND COMPONENTS"
2825,STEAM TURBINES AND COMPONENTS
2830,WATER TURBINES AND WATER WHEELS; AND COMPONENTS
2835,"GAS TURBINES AND JET ENGINES; NON-AIRCRAFT PRIME MOVER, AIRCRAFT NON-PRIME MOVER, AND COMPONENTS"
2840,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS"
2845,ROCKET ENGINES AND COMPONENTS
2850,GASOLINE ROTARY ENGINES AND COMPONENTS
2895,MISCELLANEOUS ENGINES AND COMPONENTS
2910,"ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT"
2915,"ENGINE FUEL SYSTEM COMPONENTS, AIRCRAFT AND MISSILE PRIME MOVERS"
2920,"ENGINE ELECTRICAL SYSTEM COMPONENTS, NONAIRCRAFT"
2925,"ENGINE ELECTRICAL SYSTEM COMPONENTS, AIRCRAFT PRIME MOVING"
2930,"ENGINE COOLING SYSTEM COMPONENTS, NONAIRCRAFT"
2935,"ENGINE SYSTEM COOLING COMPONENTS, AIRCRAFT PRIME MOVING"
2940,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT"
2945,"ENGINE AIR AND OIL FILTERS, CLEANERS, AIRCRAFT PRIME MOVING"
2950,TURBOSUPERCHARGER AND COMPONENTS
2990,"MISCELLANEOUS ENGINE ACCESSORIES, NONAIRCRAFT"
2995,"MISCELLANEOUS ENGINE ACCESSORIES, AIRCRAFT"
3010,TORQUE CONVERTERS & SPEED CHANGERS
3020,"GEARS, PULLEYS, SPROCKETS, AND TRANSMISSION CHAIN"
3030,"BELTING, DRIVE BELTS, FAN BELTS, AND ACCESSORIES"
3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT
3110,"BEARINGS, ANTIFRICTION, UNMOUNTED"
3120,"BEARINGS, PLAIN, UNMOUNTED"
3130,"BEARINGS, MOUNTED"
3210,SAWMILL AND PLANING MILL MACHINERY
3220,WOODWORKING MACHINES
3230,TOOLS - ATTACHS FOR WOODWORK MACH
3405,SAWS AND FILING MACHINES
3408,MACHINING CENTERS AND WAY-TYPE MACHINES
3410,ELECT & ULTRASONIC EROSION MACHINES
3411,BORING MACHINES.
3412,BROACHING MACHINES
3413,DRILLING AND TAPPING MACHINES
3414,GEAR CUTTING AND FINISHING MACHINES
3415,GRINDING MACHINES
3416,LATHES
3417,MILLING MACHINES
3418,PLANERS AND SHAPERS
3419,MISCELLANEOUS MACHINE TOOLS
3422,ROLLING MILLS AND DRAWING MACHINES
3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT
3426,METAL FINISHING EQUIPMENT
3431,ELECTRIC ARC WELDING EQUIPMENT
3432,ELECTRIC RESISTANCE WELDING EQUIPMENT
3433,"GAS WELDING, HEAT CUTTING, AND METALIZING EQUIPMENT"
3436,WELDING POSITIONERS & MANIPULATORS
3438,MISCELLANEOUS WELDING EQUIPMENT
3439,MISC WELD SOLDER & BRAZING SUPPLY
3441,BENDING AND FORMING MACHINES
3442,"HYDRAULIC AND PNEUMATIC PRESSES, POWER DRIVEN"
3443,"MECHANICAL PRESSES, POWER DRIVEN"
3444,MANUAL PRESSES
3445,PUNCHING AND SHEARING MACHINES
3446,FORGING MACHINERY AND HAMMERS
3447,WIRE AND METAL RIBBON FORMING MACHINES
3448,RIVETING MACHINES
3449,MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES
3450,"MACHINE TOOLS, PORTABLE"
3455,CUTTING TOOLS FOR MACHINE TOOLS
3456,CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY
3460,MACHINE TOOL ACCESSORIES
3461,ACCESSORIES FOR SECONDARY METALWORKING MACHINERY
3465,"PRODUCTION JIGS, FIXTURES, AND TEMPLATES"
3470,"MACHINE SHOP SETS, KITS, AND OUTFITS"
3510,LAUNDRY AND DRY CLEANING EQUIPMENT
3520,SHOE REPAIRING EQUIPMENT
3530,INDUSTRIAL SEWING MACHINES AND MOBILE TEXTILE REPAIR SHOPS
3540,WRAPPING AND PACKAGING MACHINERY
3550,VENDING AND COIN OPERATED MACHINES
3590,MISC SERVICE & TRADE EQ
3605,FOOD PRODUCTS MACHINE & EQ
3610,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"
3611,INDUSTRIAL MARKING MACHINES
3615,PULP AND PAPER INDUSTRIES MACHINERY
3620,RUBBER AND PLASTICS WORKING MACHINERY
3625,TEXTILE INDUSTRIES MACHINERY
3630,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY
3635,CRYSTAL & GLASS INDUSTRIES MACHINE
3640,TOBACCO MANUFACTURING MACHINERY
3645,LEATHER TANNING AND LEATHER WORKING INDUSTRIES MACHINERY
3650,CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY
3655,"GAS GENERATING AND DISPENSING SYSTEMS, FIXED OR MOBILE"
3660,INDUSTRIAL SIZE REDUCTION MACHINERY
3670,"SPECIALIZED SEMICONDUCTOR, MICROCIRCUIT, AND PRINTED CIRCUIT BOARD MANUFACTURING MACHINERY"
3680,"FOUNDRY MACHINERY, RELATED EQUIPMENT AND SUPPLIES"
3685,SPECIAL METAL CONTAINER MFG MACH
3690,SPECIALIZED AMMUNITION AND ORDNANCE MACHINERY AND RELATED EQUIPMENT
3693,INDUSTRIAL ASSEMBLY MACHINES
3694,"CLEAN WORK STATIONS, CONTROLLED ENVIRONMENT, AND RELATED EQUIPMENT"
3695,MISC SPECIAL INDUSTRY MACHINE
3710,SOIL PREPARATION EQUIPMENT
3720,HARVESTING EQUIPMENT
3730,"DAIRY, POULTRY, AND LIVESTOCK EQUIPMENT"
3740,"PEST, DISEASE, AND FROST CONTROL EQUIPMENT"
3750,GARDENING IMPLEMENTS AND TOOLS
3760,ANIMAL DRAWN VEHICLE & FARM TRAILER
3770,"SADDLERY,HARNESS,WHIPS & FURNISHING"
3805,EARTH MOVING AND EXCAVATING EQUIPMENT
3810,CRANES AND CRANE-SHOVELS
3815,CRANE AND CRANE-SHOVEL ATTACHMENTS
3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT"
3825,"ROAD CLEARING, CLEANING, AND MARKING EQUIPMENT"
3830,TRUCK AND TRACTOR ATTACHMENTS
3835,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT
3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT
3910,CONVEYORS
3915,MATERIALS FEEDERS
3920,MAT HANDLING EQ - NONSELF-PROPELLED
3930,WAREHOUSE TRKS & TRACTORS SELF-PROP
3940,"BLOCKS, TACKLE, RIGGING, AND SLINGS"
3950,"WINCHES, HOISTS, CRANES, AND DERRICKS"
3960,FREIGHT ELEVATORS
3990,MISC MATERIALS HANDLING EQ
4010,CHAIN AND WIRE ROPE
4020,"FIBER ROPE, CORDAGE, AND TWINE"
4030,"FITTINGS FOR ROPE, CABLE, AND CHAIN"
4110,REFRIGERATION EQUIPMENT
4120,AIR CONDITIONING EQUIPMENT
4130,REFRIGERATION AND AIR CONDITIONING COMPONENTS
4140,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT"
4150,VORTEX TUBES AND REL. COOLING TUBES
4210,FIRE FIGHTING EQUIPMENT
4220,MARINE LIFESAVING & DIVING EQ
4230,DECONTAMINATING & IMPREGNATING EQ
4235,Haz. Mat. Spill Cntnmnt. & Clean-up
4240,SAFETY AND RESCUE EQUIPMENT
4250,RECYCLING AND RECLAMATION EQUIPMENT
4310,COMPRESSORS AND VACUUM PUMPS
4320,POWER AND HAND PUMPS
4330,"CENTRIFUGALS, SEPARATORS, AND PRESSURE AND VACUUM FILTERS"
4410,INDUSTRIAL BOILERS
4420,HEAT EXCHANGERS AND STEAM CONDENSERS
4430,"INDUSTRIAL FURNACES,KILNS & OVENS"
4440,DRIERS DEHYDRATORS & ANHYDRATORS
4460,AIR PURIFICATION EQUIPMENT
4470,NUCLEAR REACTORS
4510,PLUMBING FIXTURES AND ACCESSORIES
4520,SPACE AND WATER HEATING EQUIPMENT
4530,FUEL BURNING EQUIPMENT UNITS
4540,WASTE DISPOSAL EQUIPMENT
4610,WATER PURIFICATION EQUIPMENT
4620,"WATER DISTILLATION EQUIPMENT, MARINE AND INDUSTRIAL"
4630,SEWAGE TREATMENT EQUIPMENT
4710,"PIPE, TUBE AND RIGID TUBING"
4720,HOSE AND FLEXIBLE TUBING
4730,FITTINGS - HOSE PIPE & TUBE
4810,"VALVES, POWERED"
4820,"VALVES, NONPOWERED"
4910,MOTOR VEHICLE MAINT EQ
4920,AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4921,TORPEDO MAINT REP & CHECKOUT EQ
4923,"DEPTH CHARGES AND UNDERWATER MINES MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4925,"AMMUNITION MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4927,"ROCKET MAINTENANCE, REPAIR AND CHECKOUT SPECIALIZED EQUIPMENT"
4930,LUBRICATION AND FUEL DISPENSING EQUIPMENT
4931,FIRE CONTROL MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4933,WEAPONS MAINT EQ
4935,"GUIDED MISSILE MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4940,MISCELLANEOUS MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT
4960,"SPACE VEHICLE MAINTENANCE, REPAIR, AND CHECKOUT SPECIALIZED EQUIPMENT"
4970,"MULTIPLE GUIDED WEAPONS, SPECIALIZED MAINTENANCE AND REPAIR SHOP EQUIPMENT"
5110,"HAND TOOLS, EDGED, NONPOWERED"
5120,"HAND TOOLS, NONEDGED, NONPOWERED"
5130,"HAND TOOLS, POWER DRIVEN"
5133,"DRILL BITS, COUNTERBORES, AND COUNTERSINKS: HAND AND MACHINE"
5136,"TAPS, DIES, AND COLLETS; HAND AND MACHINE"
5140,TOOL AND HARDWARE BOXES
5180,SETS KITS & OUTFITS OF HAND TOOLS
5210,"MEASURING TOOLS, CRAFTSMEN'S"
5220,GAGES & PRECISION LAYOUT TOOL
5280,"SETS, KITS, AND OUTFITS OF MEASURING TOOLS"
5305,SCREWS
5306,BOLTS
5307,STUDS
5310,NUTS AND WASHERS
5315,"NAILS, MACHINE KEYS, AND PINS"
5320,RIVETS
5325,FASTENING DEVICES
5330,PACKING AND GASKET MATERIALS
5331,O-RING
5335,METAL SCREENING
5340,"HARDWARE, COMMERCIAL"
5341,BRACKETS
5342,"HARDWARE, WEAPON SYSTEM"
5345,"DISKS AND STONES, ABRASIVE"
5350,ABRASIVE MATERIALS
5355,KNOBS AND POINTERS
5360,"COIL, FLAT, LEAF, AND WIRE SPRINGS"
5365,"BUSHINGS, RINGS, SHIMS AND SPACERS"
5410,PREFABRICATED AND PORTABLE BUILDINGS
5411,RIGID WALL SHELTERS
5419,COLLECTIVE MODULAR SUPPORT SYSTEM
5420,"BRIDGES, FIXED AND FLOATING"
5430,STORAGE TANKS
5440,SCAFFOLDING EQUIPMENT AND CONCRETE FORMS
5445,PREFABRICATED TOWER STRUCTURES
5450,MISC PREFABRICATED STRUCTURES
5510,LUMBER AND RELATED BASIC WOOD MATERIALS
5520,MILLWORK
5530,PLYWOOD AND VENEER
5610,"MINERAL CONSTRUCTION MATERIALS, BULK"
5620,"TILE, BRICK AND BLOCK"
5630,"PIPE AND CONDUIT, NONMETALLIC"
5640,"WALLBOARD, BUILDING PAPER, AND THERMAL INSULATION MATERIALS"
5650,ROOFING AND SIDING MATERIALS
5660,"FENCING, FENCES, GATES AND COMPONENTS"
5670,"BUILDING COMPONENTS, PREFABRICATED"
5675,NONWOOD CONSTRUCT MATERIAL
5680,MISCELLANEOUS CONSTRUCTION MATERIALS
5805,TELEPHONE AND TELEGRAPH EQUIPMENT
5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS
5811,OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS
5815,TELETYPE AND FACSIMILE EQUIPMENT
5820,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE"
5821,RADIO & TV EQ AIRBORNE
5825,RADIO NAVIGATION EQ - EXCEPT AIR
5826,RADIO NAVIGATION EQ AIR
5830,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, EXCEPT AIRBORNE"
5831,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE"
5835,SOUND RECORDING AND REPRODUCING EQUIPMENT
5836,VIDEO RECORDING AND REPRODUCING EQUIPMENT
5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE"
5841,"RADAR EQUIPMENT, AIRBORNE"
5845,UNDERWATER SOUND EQUIPMENT
5850,VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT
5855,"NIGHT VISION EQUIPMENT, EMITTED AND REFLECTED RADIATION"
5860,STIMULATED COHERENT RADIATION DEV
5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT"
5895,MISC COMMUNICATION EQ
5905,RESISTORS
5910,CAPACITORS
5915,FILTERS AND NETWORKS
5920,"FUSES, ARRESTORS, ABSORBERS, AND PROTECTORS"
5925,CIRCUIT BREAKERS
5930,SWITCHES
5935,"CONNECTORS, ELECTRICAL"
5940,LUGS TERMINALS & TERMINAL STRIPS
5945,RELAYS AND SOLENOIDS
5950,COILS AND TRANSFORMERS
5955,OSCILLATORS AND PIEZOELECTRIC CRYSTALS
5960,ELECTRON TUBES & ASSOC HARDWARE
5961,SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE
5962,"MICROCIRCUITS, ELECTRONIC"
5963,ELECTRONIC MODULES
5965,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS"
5970,ELECTRICAL INSULATORS AND INSULATING MATERIALS
5975,ELECTRICAL HARDWARE AND SUPPLIES
5977,ELECT CONTACT BRUSHES & ELECTRODES
5980,OPTOELECTRICAL DEVICES/ASSOC HARDWA
5985,"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT"
5990,SYNCHROS AND RESOLVERS
5995,CABLE CORD WIRE ASSEMBLY - COMM EQ
5996,AMPLIFIERS
5998,"ELECTRICAL AND ELECTRONIC ASSEMBLIES, BOARDS, CARDS, AND ASSOCIATED HARDWARE"
5999,MSC ELECT & ELECTRONIC COMPONENTS
6004,ROTARY JOINTS
6005,"COUPLERS, SPLITTERS, & MIXERS"
6006,ATTENUATORS
6007,FILTERS
6008,OPTICAL MULTIPLEXERS/DEMULTIPLEXERS
6010,FIBER OPTIC CONDUCTORS
6015,FIBER OPTIC CABLES
6020,FIBER OPTIC CABLE ASSEMBLY & HARNES
6021,FIBER OPTIC SWITCHES
6025,FIBER OPTIC TRANSMITTERS
6026,FIBER OPTIC RECEIVERS
6029,FIBER OPTIC REPEATERS
6030,FIBER OPTIC DEVICES
6031,INTEGRATED OPTICAL CIRCUITS
6032,FIBER OPTIC LIGHT SOURCES AND PHOTO DETECTORS
6033,FIBER OPTIC PHOTO DETECTORS
6034,FIBER OPTIC MOD/DEMODULATORS
6035,FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES
6040,FIBER OPTIC SENSORS
6050,FIBER OPTIC PASSIVE DEVICES
6060,FIBER OPTIC INTERCONNECTORS
6070,FIBER OPTIC ACCESSORIES & SUPPLIES
6080,FIBER OPTIC KITS AND SETS
6099,MISC FIBER OPTIC COMPONENTS
6105,"MOTORS, ELECTRICAL"
6110,ELECTRICAL CONTROL EQUIPMENT
6115,"GENERATORS AND GENERATOR SETS, ELECTRICAL"
6116,"FUEL CELL POWER UNITS, COMPONENTS, AND ACCESSORIES"
6117,SOLAR ELECTRIC POWER SYSTEMS
6120,TRANSFORMERS: DISTRIBUTION AND POWER STATION
6125,"CONVERTERS, ELECTRICAL, ROTATING"
6130,"CONVERTERS, ELECTRICAL, NONROTATING"
6135,"BATTERIES, NONRECHARGEABLE"
6140,"BATTERIES, RECHARGEABLE"
6145,"WIRE AND CABLE, ELECTRICAL"
6150,MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT
6160,MISC BATTERY RET FIXTURES & LINERS
6210,INDOOR AND OUTDOOR ELECTRIC LIGHTING FIXTURES
6220,ELECTRIC VEHICULAR LIGHTS AND FIXTURES
6230,ELEC PORTABLE & HAND LIGHTING EQ
6240,ELECTRIC LAMPS
6250,"BALLASTS, LAMPHOLDERS, AND STARTERS"
6260,NONELECTRICAL LIGHTING FIXTURES
6310,TRAFFIC AND TRANSIT SIGNAL SYSTEMS
6320,SHIPBOARD ALARM AND SIGNAL SYSTEMS
6330,RAILROAD SIGNAL AND WARNING DEVICES
6340,AIRCRAFT ALARM AND SIGNAL SYSTEMS
6350,"MISC ALARM, SIGNAL, SEC SYSTEMS"
6505,DRUGS AND BIOLOGICALS
6506,BLOOD
6507,BLOOD DERIVATIVES
6508,MEDICATED COSMETICS AND TOILETRIES
6509,"DRUGS AND BIOLOGICALS, VETERINARY USE"
6510,SURGICAL DRESSING MATERIALS
6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES"
6520,"DENTAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES"
6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY"
6530,"HOSP FURNITURE,EQ,UTENSILS & SUP"
6532,HOSPITAL & SURGICAL CLOTHING
6540,"OPHTHALMIC INSTRUMENTS, EQUIPMENT, AND SUPPLIES"
6545,"REPLENISHABLE FIELD MEDICAL SETS, KITS, AND OUTFITS"
6550,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS"
6605,NAVIGATIONAL INSTRUMENTS
6610,FLIGHT INSTRUMENTS
6615,AUTO PILOT MECHANISMS AIRBORNE GYRO
6620,ENGINE INSTRUMENTS
6625,ELECT ELECTRONIC MEASURING INSTRUMT
6630,CHEMICAL ANALYSIS INSTRUMENTS
6635,PHYSICAL PROPERTIES TESTING AND INSPECTION
6636,ENVIRONMENTAL CHAMBERS & RELATED EQ
6640,LABORATORY EQUIPMENT AND SUPPLIES
6645,TIME MEASURING INSTRUMENTS
6650,OPTICAL INSTRUMENTS
6655,GEOPHYSICAL INSTRUMENTS
6660,METEOROLOG INSTRUMENTS & APPARATUS
6665,HAZARD-DETECTING INSTRU & APPARATUS
6670,SCALES AND BALANCES
6675,"DRAFTING, SURVEYING, AND MAPPING INSTRUMENTS"
6680,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS"
6685,"PRESSURE, TEMPERATURE, AND HUMIDITY MEASURING AND CONTROLLING INSTRUMENTS"
6695,COMBINATION AND MISCELLANEOUS INSTRUMENTS
6710,"CAMERAS, MOTION PICTURE"
6720,"CAMERAS, STILL PICTURE"
6730,PHOTOGRAPHIC PROJECTION EQUIPMENT
6740,PHOTOGRAPHIC DEVELOPING AND FINISHING EQUIPMENT
6750,PHOTOGRAPHIC SUPPLIES
6760,PHOTOGRAPHIC EQUIPMENT AND ACCESSORIES
6770,"FILM, PROCESSED"
6780,"PHOTOGRAPHIC SETS, KITS, AND OUTFITS"
6810,CHEMICALS
6820,DYES
6830,GASES: COMPRESSED AND LIQUEFIED
6840,PEST CONTROL AGENTS AND DISINFECTANTS
6850,MISCELLANEOUS CHEMICAL SPECIALTIES
6910,TRAINING AIDS
6920,ARMAMENT TRAINING DEVICES
6930,OPERATION TRAINING DEVICES
6940,COMMUNICATION TRAINING DEVICES
